,Title,Smiles
85,AT-138/QI01020,COC1=CC(/C=N\NC2=NC(N3CCCC3)=C(F)C=N2)=CC(I)=C1O
86,AT-225/NB37546,CCCCOC1=C2\C=CC=C\C2=N/C=C\1C1=C\C=C2\C=CC=C\C2=N\1
87,AN-153/NB25801,NC(=O)C1CCN(C2=NC3=NC=CC(C4=CC=C(F)C=C4)=C3C(=O)N2)CC1
88,AT-687/PE16720,O=C(NCC1=C(F)C=C(F)C=C1)C1CCN(C2=C3OC4=C(C=CC=C4)C3=NC=N2)CC1
89,AT-687/PE25904,O=C1NC(N2CCN(C3=CC=CC=C3F)CC2)=NC2=C1SC=C2C1=CC=C(Br)C=C1
90,AT-687/PE25857,O=C1NC(N2CCN(C3=CC=CC=C3)CC2)=NC2=C1SC=C2C1=CC=CC=C1F
91,AT-687/NB06806,CS(=O)(=O)N1CCN(/C2=C(S(=O)(=O)C3=CC=C(F)C(F)=C3)/C=N\C3=CC=C(F)C=C32)CC1
92,AT-138/QI01026,OC1=C(/C=N\NC2=NC(N3CCCC3)=C(F)C=N2)C=C(Cl)C=C1Br
93,AT-138/QI01025,CO/C1=C/C(/C=N\NC2=NC(N3CCCC3)=C(F)C=N2)=C\C2=C1OCO2
94,AT-687/PE25823,CC1=CC=C(C2=CSC3=C2N=C(N2CCN(C4=CC=CC=C4F)CC2)NC3=O)C=C1
95,AT-687/PE25893,O=C1NC(N2CCN(C3=CC=CC=C3F)CC2)=NC2=C1SC=C2C1=CC=C(Cl)C=C1
96,AT-687/NB06819,CS(=O)(=O)N1CCN(/C2=C(S(=O)(=O)C3=CC=CC(C#N)=C3)/C=N\C3=CC(F)=CC=C32)CC1
97,AT-687/PE10279,FC1=CC=CC(C2=C3/N=C(/N4CCCCCC4)C4=CC(Cl)=CC=C4N3N=N2)=C1
98,AT-687/PE10271,FC1=CC=CC(C2=C3/N=C(/N4CCCCC4)C4=CC(Cl)=CC=C4N3N=N2)=C1
