,Title,Smiles
220,8610-0664,CCOC(N(CC1)CCN1c(c(F)c12)nc(F)c2N(Cc(c(F)ccc2)c2F)CCS1(=O)=O)=O
221,F228-0877,Cc1c(C)oc2c1c(N(CCC1)CC1C(Nc(ccc(F)c1)c1F)=O)nc(C)n2
222,M294-0082,CCN(CC1)Cc2c1[nH]c(cc1)c2cc1NC(c(cc1)cc(F)c1F)=O
223,SD54-0169,COc1nc(-c2ccccc2)nc(CC2)c1CCC2C(NCc(cc(cc1)F)c1F)=O
224,L489-1906,Cc(ccc(F)c12)c2NC(CCN(CC(Nc(cc2)cc3c2OCO3)=O)C2)=C2C1=O
225,Y020-9706,CN(C(CC1N(CC2)Cc3c2c(cc(cc2)F)c2[nH]3)=O)C1=O
226,V021-1232,CC(CC1)CCN1c1c(CN(CC2)C(c(ccc(F)c3)c3F)=O)c2nc(N2CCOCC2)n1
227,M294-1325,CCCN(CC1)Cc2c1[nH]c(cc1)c2cc1NC(Nc(cc1)ccc1F)=O
228,S039-3670,CN(CC1)CCN1C(N1)=NC(CCN(Cc(cc2)cc(F)c2F)CC2)=C2C1=O
229,S039-3961,CN(CC1)CCN1C(N1)=NC(CCN(Cc2cccc(F)c2F)CC2)=C2C1=O
230,L489-1908,Cc(c(NC1=C2CN(CC(Nc(cc3)cc(F)c3F)=O)CC1)c1C2=O)ccc1F
231,S896-0030,COCCc1nc(CCOCC2)c2c(N(CC2)CCN2c(cccc2)c2F)n1
232,S896-0674,CCCC(C)C(NC(CC1)CCN1c1nc(C2CCCC2)nc2c1CCOCC2)=O
233,S896-0120,CCCN(CC1)CCN1c1nc(-c(cc2)ccc2OC)nc2c1CCOCC2
234,8610-0653,O=S(CCN(Cc(c(F)ccc1)c1F)c1c(nc2N3CCOCC3)F)(c1c2F)=O
235,L489-1914,Cc(ccc(F)c12)c2NC(CCN(CC(Nc(cc2)cc(C)c2F)=O)C2)=C2C1=O
236,L489-1896,Cc(ccc(NC(CN(CC1)CC2=C1Nc(c(C)ccc1F)c1C2=O)=O)c1)c1F
237,F228-0857,Cc1c(C)oc2c1c(N(CCC1)CC1C(Nc(cc1)cc(OC)c1OC)=O)nc(C)n2
238,S896-0124,CCN(CC1)CCN1c1nc(-c(cc2)ccc2OC)nc2c1CCOCC2
239,SB25-0042,CC(N1)=NC(CCC(CC2)C(NCc(cc(cc3)F)c3F)=O)=C2C1=O
240,S039-1683,CN(C)C(N1)=NC(CCN(Cc(ccc(F)c2)c2F)CC2)=C2C1=O
