[2023-10-02 23:37:40,768::train::INFO] Namespace(config='./configs/train.yml', device='cuda', logdir='./logs')
[2023-10-02 23:37:40,768::train::INFO] {'model': {'vn': 'vn', 'hidden_channels': 256, 'hidden_channels_vec': 64, 'encoder': {'name': 'cftfm', 'hidden_channels': 256, 'hidden_channels_vec': 64, 'edge_channels': 64, 'key_channels': 128, 'num_heads': 4, 'num_interactions': 4, 'cutoff': 10.0, 'knn': 48}, 'field': {'name': 'classifier', 'num_filters': 128, 'num_filters_vec': 32, 'edge_channels': 64, 'num_heads': 4, 'cutoff': 10.0, 'knn': 32}, 'position': {'num_filters': 128, 'n_component': 3}}, 'train': {'save': True, 'seed': 2021, 'use_apex': False, 'batch_size': 6, 'num_workers': 8, 'pin_memory': True, 'resume_train': False, 'ckpt_name': 'None', 'start_epoch': 'None', 'max_iters': 500000, 'val_freq': 5000, 'pos_noise_std': 0.1, 'max_grad_norm': 100.0, 'optimizer': {'type': 'adam', 'lr': 0.0002, 'weight_decay': 0, 'beta1': 0.99, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.6, 'patience': 8, 'min_lr': 1e-05}, 'transform': {'mask': {'type': 'mixed', 'min_ratio': 0.0, 'max_ratio': 1.1, 'min_num_masked': 1, 'min_num_unmasked': 0, 'p_random': 0.15, 'p_bfs': 0.6, 'p_invbfs': 0.25}, 'contrastive': {'num_real': 20, 'num_fake': 20, 'pos_real_std': 0.05, 'pos_fake_std': 2.0}, 'edgesampler': {'k': 8}}}, 'dataset': {'index_path': './data/crossdocked_pocket10/index.pkl', 'processed_path': './data/crossdock_data/crossdock_data_gds.lmdb', 'name2id_path': './data/crossdock_data/crossdock_gdsname2id.pt', 'split': './data/split_by_name.pt'}}
[2023-10-03 12:28:39,648::train::INFO] Training Epoch 12 | Average_Loss 3.14090 | Loss 5.072130 | Loss(Fron) 0.015935 | Loss(Pos) 3.994726 | Loss(Cls) 0.898816 | Loss(Edge) 0.036922 | Loss(Real) 0.020961 | Loss(Fake) 0.066078 | Loss(Surf) 0.038690  
[2023-10-03 12:28:41,862::train::INFO] Evaluate Epoch 12 | Average_Loss 2.72843 | Single Batch Loss 5.390919 | Loss(Fron) 0.002366 | Loss(Pos) 3.945723 | Loss(Cls) 1.201445 | Loss(Edge) 0.007089 | Loss(Real) 0.025449 | Loss(Fake) 0.058665 | Loss(Surf) 0.150181  
[2023-10-03 13:29:57,751::train::INFO] Training Epoch 13 | Average_Loss 3.22149 | Loss 1.757152 | Loss(Fron) 0.081908 | Loss(Pos) 0.416614 | Loss(Cls) 0.917126 | Loss(Edge) 0.080148 | Loss(Real) 0.034723 | Loss(Fake) 0.226633 | Loss(Surf) 0.000000  
[2023-10-03 13:30:00,166::train::INFO] Evaluate Epoch 13 | Average_Loss 2.97111 | Single Batch Loss 1.209577 | Loss(Fron) 0.026798 | Loss(Pos) 0.560814 | Loss(Cls) 0.558578 | Loss(Edge) 0.029122 | Loss(Real) 0.010594 | Loss(Fake) 0.023672 | Loss(Surf) 0.000000  
[2023-10-03 14:41:09,748::train::INFO] Training Epoch 14 | Average_Loss 3.22861 | Loss 3.395785 | Loss(Fron) 0.176737 | Loss(Pos) 1.353024 | Loss(Cls) 1.251984 | Loss(Edge) 0.087025 | Loss(Real) 0.292369 | Loss(Fake) 0.234646 | Loss(Surf) 0.000000  
[2023-10-03 14:41:12,527::train::INFO] Evaluate Epoch 14 | Average_Loss 3.15620 | Single Batch Loss 2.155714 | Loss(Fron) 0.146529 | Loss(Pos) 1.395428 | Loss(Cls) 0.552721 | Loss(Edge) 0.020108 | Loss(Real) 0.027354 | Loss(Fake) 0.013575 | Loss(Surf) 0.000000  
[2023-10-03 15:46:29,470::train::INFO] Training Epoch 15 | Average_Loss 3.05732 | Loss 1.447407 | Loss(Fron) 0.054587 | Loss(Pos) 0.341381 | Loss(Cls) 0.803061 | Loss(Edge) 0.153011 | Loss(Real) 0.041734 | Loss(Fake) 0.053633 | Loss(Surf) 0.000000  
[2023-10-03 15:46:31,669::train::INFO] Evaluate Epoch 15 | Average_Loss 2.84471 | Single Batch Loss 0.805314 | Loss(Fron) 0.053924 | Loss(Pos) -0.381987 | Loss(Cls) 0.896564 | Loss(Edge) 0.031698 | Loss(Real) 0.076956 | Loss(Fake) 0.128159 | Loss(Surf) 0.000000  
[2023-10-03 16:44:38,567::train::INFO] Training Epoch 16 | Average_Loss 3.02694 | Loss 0.831388 | Loss(Fron) 0.045137 | Loss(Pos) -0.038963 | Loss(Cls) 0.619680 | Loss(Edge) 0.036884 | Loss(Real) 0.007460 | Loss(Fake) 0.161190 | Loss(Surf) 0.000000  
[2023-10-03 16:44:40,667::train::INFO] Evaluate Epoch 16 | Average_Loss 3.08168 | Single Batch Loss 4.993680 | Loss(Fron) 0.022830 | Loss(Pos) 3.849502 | Loss(Cls) 0.936786 | Loss(Edge) 0.016540 | Loss(Real) 0.022968 | Loss(Fake) 0.008424 | Loss(Surf) 0.136629  
